Zyklusnummer;Charge;Werkzeugtemperatur;Kühlzeit;Gewicht;Durchmesser_innen;Durchmesser_außen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_außen;Düsentemperatur
1;;35;20.0;8.151;25.226;45.921;;4.685;0.241;250.0
2;;35;20.0;8.133;27.344;45.909;;4.69;0.289;250.0
3;;35;20.0;8.12;27.573;45.929;;4.689;0.33;250.0
4;;35;20.0;8.118;27.523;45.933;;4.685;0.28;250.0
5;;35;20.0;8.118;27.457;45.914;;4.682;0.306;250.0
6;;35;20.0;8.121;27.447;45.907;;4.683;0.294;250.0
7;;35;20.0;8.119;27.456;45.939;;4.687;0.292;250.0
8;;35;20.0;8.116;27.469;45.916;;4.681;0.322;250.0
9;;35;20.0;8.119;27.456;45.935;;4.685;0.271;250.0
10;;35;20.0;8.115;27.47;45.896;;4.684;0.311;250.0
11;;35;20.0;8.117;27.449;45.927;;4.68;0.267;250.0
12;;35;20.0;8.117;27.45;45.926;;4.686;0.29;250.0
13;;35;20.0;8.115;27.456;45.927;;4.684;0.277;250.0
14;;35;20.0;8.118;27.459;45.916;;4.682;0.272;250.0
15;;35;20.0;8.116;27.474;45.911;;4.685;0.285;250.0
16;;35;20.0;8.116;27.442;45.915;;4.682;0.246;250.0
17;;35;20.0;8.118;27.448;45.895;;4.681;0.287;250.0
18;;35;20.0;8.117;27.462;45.902;;4.658;0.286;250.0
19;;35;20.0;8.116;27.464;45.905;;4.685;0.297;250.0
20;;35;20.0;8.119;27.457;45.894;;4.68;0.272;250.0
21;;35;20.0;8.12;27.395;45.904;;4.696;0.292;250.0
22;;35;20.0;8.115;27.466;45.891;;4.663;0.301;250.0
23;;35;20.0;8.122;27.413;45.9;;4.695;0.264;250.0
24;;35;20.0;8.119;27.462;45.854;;4.682;0.32;250.0
25;;35;20.0;8.122;27.368;45.907;;4.695;0.275;250.0
26;;35;20.0;8.119;27.457;45.912;;4.681;0.272;250.0
27;;35;20.0;8.123;27.343;45.845;;4.688;0.265;250.0
28;;35;20.0;8.122;27.432;45.811;;;0.339;250.0
29;;35;20.0;8.127;27.451;45.912;;4.685;0.277;250.0
30;;35;20.0;8.124;27.431;45.915;;4.695;0.286;250.0
31;;35;20.0;8.124;27.478;45.918;;4.678;0.268;250.0
32;;35;20.0;8.127;27.434;45.838;;4.681;0.248;250.0
33;;35;20.0;8.131;27.363;45.763;;4.696;0.274;250.0
34;;35;20.0;8.128;27.448;45.896;;4.678;0.266;250.0
35;;35;20.0;8.133;27.447;45.793;;4.679;0.295;250.0
36;;35;20.0;8.131;27.432;45.896;;4.683;0.307;250.0
37;;35;20.0;8.135;27.378;45.878;;4.697;0.296;250.0
38;;35;20.0;8.129;27.473;45.904;;4.687;0.257;250.0
39;;35;20.0;8.134;27.437;45.914;;4.688;0.29;250.0
40;;35;20.0;8.134;27.458;45.91;;4.691;0.304;250.0
41;;35;20.0;8.136;27.394;45.881;;4.701;0.244;250.0
42;;35;20.0;8.134;27.456;45.901;;4.691;0.261;250.0
43;;35;20.0;8.133;27.463;45.881;;4.688;0.279;250.0
44;;35;20.0;8.135;27.508;45.919;;4.699;0.272;250.0
45;;35;20.0;8.132;27.449;45.88;;4.69;0.286;250.0
46;;35;20.0;8.13;27.519;45.921;;4.699;0.264;250.0
47;;35;20.0;8.134;27.435;45.874;;4.689;0.285;250.0
48;;35;20.0;8.135;27.387;45.869;;4.697;0.269;250.0
49;;35;20.0;8.133;27.466;45.874;;4.689;0.288;250.0
50;;35;20.0;8.134;27.341;45.901;;4.696;0.258;250.0
51;;35;20.0;8.131;27.458;45.875;;4.689;0.321;250.0
52;;35;20.0;8.13;27.472;45.919;;4.689;0.293;250.0
53;;35;20.0;8.135;27.368;45.91;;4.709;0.296;250.0
54;;35;20.0;8.136;27.437;45.894;;4.693;0.289;250.0
55;;35;20.0;8.138;27.438;45.886;;4.702;0.271;250.0
56;;35;20.0;8.139;27.475;45.906;;4.694;0.559;250.0
57;;35;20.0;8.143;27.429;45.857;;4.705;0.424;250.0
58;;35;20.0;8.142;27.94;45.894;;4.694;0.331;250.0
59;;35;20.0;8.144;27.575;45.822;;4.702;0.375;250.0
61;;35;20.0;8.151;27.483;45.903;;4.666;0.271;250.0
62;;35;20.0;8.149;26.434;45.896;;4.663;0.247;250.0
63;;35;20.0;8.149;27.791;45.918;;4.678;0.262;250.0
64;;35;20.0;8.144;27.376;45.918;;4.689;0.254;250.0
65;;35;20.0;8.15;27.468;45.914;;4.691;0.285;250.0
66;;35;20.0;8.147;27.479;45.927;;4.689;0.257;250.0
67;;35;20.0;8.149;27.468;45.936;;4.691;0.292;250.0
68;;35;20.0;8.146;27.416;45.928;;4.698;0.244;250.0
69;;35;20.0;8.15;27.468;45.934;;4.691;0.217;250.0
70;;35;20.0;8.149;27.475;45.908;;4.7;0.253;250.0
71;;35;20.0;8.148;27.477;45.926;;4.702;0.26;250.0
72;;35;20.0;8.153;27.581;45.865;;4.694;0.417;250.0
73;;35;20.0;8.151;27.437;45.844;;4.707;0.419;250.0
74;;35;20.0;8.15;27.509;45.86;;4.706;0.441;250.0
75;;35;20.0;8.149;27.391;45.868;;4.707;0.459;250.0
76;;35;20.0;8.149;27.462;45.964;;4.709;0.352;250.0
77;;35;20.0;8.149;27.386;45.934;;4.706;0.353;250.0
78;;35;20.0;8.163;27.368;45.861;;4.692;0.228;250.0
80;;35;20.0;8.164;28.15;45.903;;4.688;0.349;250.0
81;;35;20.0;8.162;27.661;45.92;;4.69;0.252;250.0
82;;35;20.0;8.164;27.508;45.923;;4.689;0.258;250.0
83;;35;20.0;8.161;27.414;45.932;;4.695;0.262;250.0
84;;35;20.0;8.165;27.489;45.949;;4.689;0.225;250.0
85;;35;20.0;8.166;27.5;45.954;;4.696;0.224;250.0
86;;35;20.0;8.167;27.551;45.95;;4.697;0.256;250.0
87;;35;20.0;8.165;27.509;45.947;;4.703;0.255;250.0
88;;35;20.0;8.167;27.544;45.937;;4.705;0.322;250.0
89;;35;20.0;8.167;27.362;45.826;;4.704;0.302;250.0
91;;35;20.0;8.169;27.532;45.947;;4.69;0.217;250.0
92;;35;20.0;8.165;27.52;45.946;;4.672;0.192;250.0
93;;35;20.0;8.166;27.484;45.948;;4.683;0.199;250.0
94;;35;20.0;8.164;27.458;45.929;;4.693;0.173;250.0
95;;35;20.0;8.166;27.436;45.945;;4.695;0.19;250.0
96;;35;20.0;8.167;27.482;45.95;;4.699;0.208;250.0
97;;35;20.0;8.169;28.018;45.948;;4.705;0.2;250.0
98;;35;20.0;8.168;27.535;45.933;;4.707;0.21;250.0
99;;35;20.0;8.167;27.474;45.95;;4.706;0.218;250.0
100;;35;20.0;8.167;27.513;45.945;;4.709;0.229;250.0
101;;35;20.0;8.161;27.405;45.703;;4.689;0.302;250.0
102;;35;20.0;8.183;28.144;45.939;;4.679;0.2;250.0
103;;35;20.0;8.178;27.243;45.93;;4.679;0.209;250.0
104;;35;20.0;8.178;28.064;45.943;;4.686;0.278;250.0
105;;35;20.0;8.178;27.603;45.949;;4.661;0.219;250.0
106;;35;20.0;8.179;27.631;45.925;;4.689;0.263;250.0
107;;35;20.0;8.175;27.576;45.942;;4.69;0.247;250.0
108;;35;20.0;8.177;27.654;45.931;;4.688;0.233;250.0
109;;35;20.0;8.177;27.548;45.84;;4.689;0.224;250.0
110;;35;20.0;8.184;28.099;45.918;;4.682;0.334;250.0
112;;35;20.0;8.179;27.715;45.914;;4.686;0.244;250.0
113;;35;20.0;8.175;27.718;45.937;;4.689;0.252;250.0
114;;35;20.0;8.176;27.612;45.961;;4.695;0.307;250.0
115;;35;20.0;8.177;27.649;45.951;;4.696;0.244;250.0
116;;35;20.0;8.176;27.62;45.945;;4.697;0.225;250.0
117;;35;20.0;8.177;27.508;45.867;;4.689;0.228;250.0
118;;35;20.0;8.188;28.327;45.932;;4.685;0.272;250.0
119;;35;20.0;8.181;27.574;45.913;;4.69;0.518;250.0
120;;35;20.0;8.178;27.604;45.931;;4.694;0.262;250.0
121;;35;20.0;8.176;27.63;45.931;;4.688;0.235;250.0
122;;35;20.0;8.178;27.62;45.944;;4.689;0.248;250.0
123;;35;20.0;8.177;27.586;45.945;;4.69;0.254;250.0
124;;35;20.0;8.179;27.527;45.947;;4.688;0.24;250.0
125;;35;20.0;8.18;27.59;45.947;;4.695;0.234;250.0
126;;35;20.0;8.183;27.388;45.857;;4.695;0.222;250.0
