Charge;Düse;WKZ;Einspritzgeschw.;Umschaltpunkt;Start;Ende;Löschen
1;245;30;32;10;1;10;
2;245;30;32;12;11;20;
3;245;30;48;10;21;30;
4;245;30;48;12;31;42;36
5;245;40;32;10;46;55;43-45, 54
6;245;40;32;12;56;68;57, 60
7;245;40;48;10;69;78;
8;245;40;48;12;79;90;82, 83
9;255;40;48;12;105;114;91-104, 111
10;255;40;48;10;115;124;
11;255;40;32;12;125;134;
12;255;40;32;10;135;144;
13;255;30;48;12;151;160;145-150
14;255;30;32;12;161;170;
15;255;30;48;10;171;181;179
16;255;30;32;10;182;191;
17;250;35;40;11;201;210;192-200
18;245;35;40;11;217;226;211-216
19;255;35;40;11;236;245;227-235
20;250;30;40;11;252;261;246-251
21;250;40;40;11;268;277;262-267
22;250;35;32;11;283;292;278-282
23;250;35;48;11;293;305;
24;250;35;40;10;306;315;
25;250;35;40;12;316;326;
